Günler;Şimdi
Pazartesi;938,33
Cuma;939,28
Perşembe;930,38
Çarşamba;938,63
Salı;943,56
Cuma;946,55
Perşembe;942,82
Çarşamba;945,22
Salı;946,35
Pazartesi;938,03
Cuma;924,24
Perşembe;920,39
Çarşamba;908,04
Salı;913,74
Pazartesi;906,54
Cuma;900,64
Perşembe;898,71
Çarşamba;909,52
Salı;909,04
Pazartesi;912,4
Cuma;884,97
Perşembe;886,79
Çarşamba;890,37
Salı;886,13
Pazartesi;886,69
Cuma;889,47
Perşembe;892,82
Çarşamba;892,7
Salı;901,82
Pazartesi;896,95
Cuma;903,83
Perşembe;897,64
Çarşamba;898,09
Salı;906,06
Pazartesi;909,02
Cuma;904,91
Perşembe;902,68
Çarşamba;894,46
Salı;891,37
Pazartesi;894,3
Cuma;896,11
Perşembe;890,03
Çarşamba;894,85
Salı;908,14
Pazartesi;910,45
Cuma;897,22
Perşembe;899,34
Çarşamba;893,2
Salı;874,78
Pazartesi;877,65
Cuma;882,58
Perşembe;891,38
Çarşamba;885,31
Salı;889,65
Pazartesi;885,88
Cuma;888,3
Perşembe;881,87
Çarşamba;878,82
Salı;880,82
Pazartesi;885,78
Cuma;874,73
Perşembe;888,3
Çarşamba;882,49
Salı;874,77
Pazartesi;873,58
Cuma;883,89
Perşembe;873,94
Çarşamba;868,48
Salı;862,96
Pazartesi;862,38
Cuma;838,27
Perşembe;838,27
Çarşamba;831,28
Salı;842,08
Pazartesi;830,48
Cuma;830,67
Perşembe;823
Çarşamba;827,79
Salı;823,63
Pazartesi;817,12
Cuma;815,24
Perşembe;808,91
Çarşamba;776,67
Salı;773,94
Pazartesi;773,94
Cuma;771,07
Perşembe;763,86
Çarşamba;761,44
Salı;766,18
Pazartesi;777,54
Cuma;781,39
Perşembe;778,36
Çarşamba;775,48
Salı;766,99
Pazartesi;770,28
Cuma;769,72
Perşembe;774,05
Çarşamba;776,19
Salı;778,08
Pazartesi;771,58
Cuma;775,9
Perşembe;776,79
Çarşamba;768,81
Salı;769,95
Pazartesi;762,4
Cuma;757,27
Perşembe;759,29
Çarşamba;760,31
Salı;754,33
Pazartesi;736
Cuma;733,91
Perşembe;725,2
Çarşamba;739,95
Salı;742,05
Pazartesi;749,9
Cuma;743,63
Perşembe;741,93
Çarşamba;750,37
Salı;758,12
Pazartesi;755,44
