Gün;Getiri
Pazartesi;0,011880519
Çarşamba;-0,009759603
Perşembe;-0,014063413
Cuma;-0,008829951
Pazartesi;-0,014521506
Salı;-0,010914647
Çarşamba;0,007657489
Perşembe;-0,008602357
Cuma;-0,007072938
Pazartesi;-0,031236858
Salı;0,012246135
Çarşamba;0,023955421
Perşembe;-0,010790192
Cuma;-0,006762288
Pazartesi;-0,051818187
Salı;0,004373175
Çarşamba;0,020292791
Perşembe;0,013662078
Cuma;-0,003866703
Pazartesi;-0,019839631
Salı;0,015496587
Çarşamba;0,006575659
Perşembe;0,014989982
Cuma;0,006350927
Pazartesi;0,011719449
Salı;-0,004300462
Çarşamba;0,012834414
Perşembe;-0,010321562
Cuma;0,003224978
Pazartesi;-0,021658177
Salı;0,006024188
Çarşamba;-0,00692973
Perşembe;0,002421101
Cuma;-0,008130176
Pazartesi;0,014048146
Salı;-0,009686665
Çarşamba;-0,014633594
Perşembe;0,023348512
Cuma;0,006130455
Pazartesi;0,007172976
Salı;-0,004169952
Çarşamba;-0,003776344
Perşembe;0,000749163
Pazartesi;-0,017915292
Salı;0,003241176
Çarşamba;-0,004447018
Perşembe;-0,036166114
Cuma;0,004775589
Pazartesi;-0,017429188
Salı;0,008650038
Çarşamba;0,00071747
Perşembe;0,002443222
Cuma;0,020723837
Pazartesi;-0,022091818
Salı;0,000907934
Çarşamba;-0,001291816
Perşembe;0,008525766
Cuma;-0,004782811
Pazartesi;-0,011954838
Salı;0,028307077
Çarşamba;-0,019570592
Perşembe;-0,014028222
Cuma;0,002888697
Pazartesi;-0,005018457
Salı;-0,012585035
Çarşamba;-0,008726751
Perşembe;-0,008241036
Cuma;-0,011907468
Pazartesi;-0,033846417
Salı;0,029936237
Çarşamba;0,001440942
Perşembe;0,016129273
Cuma;-0,002288315
Pazartesi;0,007580849
Salı;-0,022046867
Çarşamba;0,001168272
Perşembe;0,00471354
Cuma;-0,014344871
Pazartesi;-0,014971001
Salı;0,002584807
Çarşamba;-0,000680296
Perşembe;-0,002168927
Cuma;-0,006927499
Pazartesi;-0,000729057
Salı;0,025944198
Çarşamba;0,013250082
Perşembe;0,011158166
Cuma;0,001572495
Pazartesi;0,010095475
Salı;-0,011494608
Çarşamba;-0,005133564
Pazartesi;-0,01750932
Salı;0,01278029
Çarşamba;-0,000713983
Perşembe;0,004383613
Cuma;-0,001799528
Pazartesi;0,033129269
Salı;0,004618526
Çarşamba;0,018454328
Perşembe;-0,000470262
Cuma;0,007018195
Pazartesi;0,001072454
Salı;-0,011937297
Çarşamba;0,012945616
Perşembe;-0,00147501
Cuma;-0,009876655
Pazartesi;0,015813854
Salı;0,009498858
Çarşamba;-0,009122682
Perşembe;0,006136714
Cuma;-0,00163361
Pazartesi;-0,010829094
Salı;-0,007585916
Çarşamba;-0,001615787
Cuma;0,011054594
Pazartesi;0,052555578
Salı;-0,009363364
Çarşamba;0,009243874
Perşembe;-0,008737454
Cuma;-0,012445123
Pazartesi;0,001463593
Salı;-0,010733819
Çarşamba;0,006679297
Perşembe;0,005187335
Cuma;-0,003219083
Pazartesi;-0,010225653
Salı;0,001319367
Çarşamba;-0,00790518
Perşembe;-0,000907086
Cuma;0,002991506
Pazartesi;-0,011681458
Salı;-0,044908436
Çarşamba;0,007760687
Perşembe;-0,024224848
Cuma;0,008497356
Pazartesi;-0,005368838
Salı;0,020419344
Çarşamba;-0,00509206
Perşembe;-0,012407303
Cuma;-0,015870168
Pazartesi;-0,004805171
Salı;-0,01099256
Çarşamba;0,02008396
Perşembe;-0,030355269
Cuma;-0,029083475
Pazartesi;-0,013912495
Salı;0,040269533
Çarşamba;0,009311118
Perşembe;0,012010189
Cuma;-0,017130923
Pazartesi;0,011907842
Salı;-0,003086802
Çarşamba;0,01281729
Perşembe;6,75242E-05
Cuma;0,001888829
Pazartesi;0,000714127
Salı;-0,004454771
Çarşamba;-0,009679644
Perşembe;-0,020341836
Pazartesi;-0,016999249
Salı;0,002407831
Çarşamba;0,007188901
Perşembe;0,004176776
Cuma;-0,012427241
Pazartesi;0,006155516
Salı;0,009678692
Çarşamba;0,01066222
Perşembe;-0,007864353
Cuma;-0,012293603
Pazartesi;-0,000309637
Salı;0,000464419
Çarşamba;-0,020885481
Perşembe;-0,014996083
Cuma;0,024148942
Pazartesi;0,004190853
Salı;0,017844068
Çarşamba;0,003392143
Perşembe;0,005177199
Cuma;0,014447711
Pazartesi;-0,000449197
Salı;-0,012908356
Çarşamba;0,010440986
Perşembe;0,016755934
Cuma;-0,00404818
Pazartesi;-0,030082496
